change,changeOverTime,changePercent,close,date,high,label,low,open,unadjustedVolume,volume,vwap,Year,Month,Week,Day,Dayofweek,Dayofyear,Is_month_end,Is_month_start,Is_quarter_end,Is_quarter_start,Is_year_end,Is_year_start,Elapsed,rpt_earnings,up_or_down,up_yesterday,up_last3,up_last10,low_to_open,low_to_close,hi_to_open,hi_to_close,hi_to_low
0.42,0.056004087889627026,0.408,103.33,2018-11-06,103.44,Nov 6,102.05,102.54,6368692,6368692,102.7445,2018,11,45,6,1,310,False,False,False,False,False,False,1541462400,0,1,1,1.0,0.9,0.9952213770236005,0.9876125036291493,1.0087770626097132,1.00106455046937,1.0136207741303283
0.99,0.06612161471640265,0.958,104.32,2018-11-07,104.47,Nov 7,103.05,103.66,8672606,8672606,103.996,2018,11,45,7,2,311,False,False,False,False,False,False,1541548800,0,1,1,1.0,0.9,0.9941153771946749,0.9878259202453988,1.0078140073316613,1.0014378834355828,1.013779718583212
0.56,0.07184466019417478,0.537,104.88,2018-11-08,105.26,Nov 8,104.03,104.33,5961422,5961422,104.7654,2018,11,45,8,3,312,False,False,False,False,False,False,1541635200,0,1,1,1.0,0.9,0.9971245087702483,0.9918954996186118,1.0089140228122304,1.0036231884057971,1.0118235124483324
0.68,0.07879407256004096,0.648,105.56,2018-11-09,105.9,Nov 9,104.81,105.0,8450355,8450355,105.4457,2018,11,45,9,4,313,False,False,False,False,False,False,1541721600,0,1,1,1.0,0.9,0.9981904761904762,0.9928950359984843,1.0085714285714287,1.0032209170140205,1.0103997710142163
-1.69,0.061522738886050185,-1.601,103.87,2018-11-12,106.21,Nov 12,103.65,105.5,8943081,8943081,104.628,2018,11,46,12,0,316,False,False,False,False,False,False,1541980800,0,0,1,1.0,0.9,0.9824644549763034,0.997881967844421,1.006729857819905,1.0225281602002503,1.0246985045827302
-0.93,0.05201839550332145,-0.895,102.94,2018-11-13,104.15,Nov 13,102.54,103.67,7956688,7956688,103.0958,2018,11,46,13,1,317,False,False,False,False,False,False,1542067200,0,0,0,0.6666666666666666,0.8,0.9891000289379763,0.996114241305615,1.0046300762033376,1.0117544200505149,1.0157011897795982
-1.41,0.03760858456821673,-1.37,101.53,2018-11-14,103.15,Nov 14,101.01,103.0,10481867,10481867,101.8455,2018,11,46,14,2,318,False,False,False,False,False,False,1542153600,0,0,0,0.3333333333333333,0.7,0.9806796116504854,0.9948783610755442,1.0014563106796117,1.0159558751108047,1.021186021186021
-1.99,0.017271333673990925,-1.96,99.54,2018-11-15,102.8,Nov 15,98.62,102.32,16082589,16082589,99.8257,2018,11,46,15,3,319,False,False,False,False,False,False,1542240000,1,0,0,0.0,0.7,0.963838936669273,0.9907574844283705,1.0046911649726349,1.0327506530038175,1.0423849117825998
-1.85,-0.0016351558507919938,-1.859,97.69,2018-11-16,99.42,Nov 16,96.92,98.82,14235231,14235231,97.7705,2018,11,46,16,4,320,False,False,False,False,False,False,1542326400,0,0,0,0.0,0.6,0.9807731228496257,0.99211792404545,1.0060716454159078,1.0177090797420412,1.0257944696657038
465.0,0.0,0.149,313465.0,2018-08-17,314290.0,"Aug 17, 18",312260.0,312975.0,162,162,313272.58,2018,8,33,17,4,229,False,False,False,False,False,False,1534464000,0,1,0,0.0,0.0,0.9977154724818276,0.9961558706713668,1.004201613547408,1.002631872776865,1.0065009927624415
595.0,0.0018981385481632719,0.19,314060.0,2018-08-20,315535.0,"Aug 20, 18",313465.0,313465.0,137,137,314469.25,2018,8,34,20,0,232,False,False,False,False,False,False,1534723200,0,1,1,0.0,0.0,1.0,0.9981054575558811,1.0066036080583158,1.004696554798446,1.0066036080583158
-335.0,0.0008294386933150431,-0.107,313725.0,2018-08-21,315600.0,"Aug 21, 18",313725.0,314950.0,172,172,314706.55,2018,8,34,21,1,233,False,False,False,False,False,False,1534809600,0,0,1,0.0,0.0,0.9961104937291634,1.0,1.0020638196539133,1.0059765718383935,1.0059765718383935
-1325.0,-0.0033975084937712344,-0.422,312400.0,2018-08-22,313250.0,"Aug 22, 18",311960.0,313250.0,147,147,312481.43,2018,8,34,22,2,234,False,False,False,False,False,False,1534896000,0,0,0,0.6666666666666666,0.0,0.9958818834796488,0.9985915492957746,1.0,1.0027208706786173,1.0041351455314784
-417.5,-0.004729395626305967,-0.134,311982.5,2018-08-23,312930.0,"Aug 23, 18",311710.0,312300.0,115,115,312165.52,2018,8,34,23,3,235,False,False,False,False,False,False,1534982400,0,0,0,0.3333333333333333,0.0,0.9981107909061799,0.9991265535727164,1.0020172910662823,1.0030370293205548,1.0039138943248533
867.5,-0.0019619415245721215,0.278,312850.0,2018-08-24,313640.0,"Aug 24, 18",312150.0,312150.0,234,234,313006.38,2018,8,34,24,4,236,False,False,False,False,False,False,1535068800,0,1,0,0.0,0.0,1.0,0.9977625059932875,1.0047733461476853,1.0025251718075756,1.0047733461476853
3350.0,0.008725057023910165,1.071,316200.0,2018-08-27,317500.0,"Aug 27, 18",314250.0,314250.0,185,185,316215.58,2018,8,35,27,0,239,False,False,False,False,False,False,1535328000,0,1,1,0.3333333333333333,0.0,1.0,0.9938330170777988,1.0103420843277646,1.0041113219481341,1.0103420843277646
924.0,0.01167275453399901,0.292,317124.0,2018-08-28,317730.0,"Aug 28, 18",316110.0,316700.01,277,277,316981.37,2018,8,35,28,1,240,False,False,False,False,False,False,1535414400,0,1,1,0.6666666666666666,0.0,0.9981370066897061,0.9968025125818292,1.0032522575543967,1.0019109244333446,1.0051247983296954
381.01,0.012888233136075828,0.12,317505.01,2018-08-29,317850.0,"Aug 29, 18",316320.0,317850.0,160,160,316976.63,2018,8,35,29,2,241,False,False,False,False,False,False,1535500800,0,0,1,1.0,0.0,0.9951864086833412,0.9962677439326075,1.0,1.0010865655316745,1.0048368740515934
-505.01,0.011277176080264144,-0.159,317000.0,2018-08-30,317450.0,"Aug 30, 18",315880.0,317000.0,364,364,316708.62,2018,8,35,30,3,242,False,False,False,False,False,False,1535587200,0,0,0,0.6666666666666666,0.0,0.9964668769716089,0.9964668769716089,1.0014195583596215,1.0014195583596215,1.004970241863999
-1200.0,0.007448997495733176,-0.379,315800.0,2018-08-31,316900.0,"Aug 31, 18",315000.0,316900.0,451,451,315871.3,2018,8,35,31,4,243,True,False,False,False,False,False,1535673600,0,0,0,0.3333333333333333,0.5,0.9940044177974124,0.9974667511082964,1.0,1.0034832172260926,1.006031746031746
1450.0,0.012074713285374763,0.459,317250.0,2018-09-04,317250.0,"Sep 4, 18",315000.0,315800.0,169,169,316032.36,2018,9,36,4,1,247,False,False,False,False,False,False,1536019200,0,1,0,0.0,0.4,0.9974667511082964,0.9929078014184397,1.0045915136162127,1.0,1.0071428571428571
2670.0,0.020592410635956168,0.842,319920.0,2018-09-05,319950.0,"Sep 5, 18",316123.0,316500.0,259,259,319005.26,2018,9,36,5,2,248,False,False,False,False,False,False,1536105600,0,1,1,0.3333333333333333,0.4,0.9988088467614534,0.988131407851963,1.0109004739336493,1.0000937734433608,1.0121060473296786
115.0,0.02095927775030705,0.036,320035.0,2018-09-06,321175.06,"Sep 6, 18",318500.01,318500.01,388,388,319942.63,2018,9,36,6,3,249,False,False,False,False,False,False,1536192000,0,1,1,0.6666666666666666,0.5,1.0,0.9952036808474073,1.0083989008351992,1.00356229787367,1.0083989008351992
1665.01,0.026270907437832003,0.52,321700.01,2018-09-07,322743.42,"Sep 7, 18",320000.0,320000.0,250,250,321539.74,2018,9,36,7,4,250,False,False,False,False,False,False,1536278400,0,1,1,1.0,0.6,1.0,0.9947155425951028,1.0085731875,1.0032434254509348,1.0085731875
859.99,0.029014403521924297,0.267,322560.0,2018-09-10,324995.0,"Sep 10, 18",322105.0,322200.32,256,256,323558.09,2018,9,37,10,0,253,False,False,False,False,False,False,1536537600,0,1,1,1.0,0.7,0.9997041592013316,0.9985894097222222,1.00867373440225,1.0075489831349207,1.0089722295524752
682.0,0.031190085017466066,0.211,323242.0,2018-09-11,324420.0,"Sep 11, 18",320070.0,321200.0,204,204,323034.12,2018,9,37,11,1,254,False,False,False,False,False,False,1536624000,0,1,1,1.0,0.7,0.9964819427148194,0.990186918779119,1.0100249066002491,1.0036443283979186,1.0135907770175274
-902.0,0.028312570781426953,-0.279,322340.0,2018-09-12,323420.0,"Sep 12, 18",321750.0,321750.0,188,188,322588.73,2018,9,37,12,2,255,False,False,False,False,False,False,1536710400,0,1,1,1.0,0.7,1.0,0.9981696345473723,1.005190365190365,1.0033504994726066,1.005190365190365
-765.0,0.025872106933788462,-0.237,321575.0,2018-09-13,323454.87,"Sep 13, 18",321575.0,322700.01,281,281,322638.4,2018,9,37,13,3,256,False,False,False,False,False,False,1536796800,0,0,1,1.0,0.7,0.996513759017237,1.0,1.002339200423328,1.0058458213480526,1.0058458213480526
3424.0,0.03679517649498349,1.065,324999.0,2018-09-14,324999.0,"Sep 14, 18",323276.0,323980.0,211,211,324025.6,2018,9,37,14,4,257,False,False,False,False,False,False,1536883200,0,1,0,0.6666666666666666,0.7,0.9978270263596518,0.9946984452259853,1.0031452558799925,1.0,1.0053298110592805
-424.0,0.03544255339511588,-0.13,324575.0,2018-09-17,325666.0,"Sep 17, 18",323835.61,325040.0,242,242,324623.5,2018,9,38,17,0,260,False,False,False,False,False,False,1537142400,0,0,1,0.6666666666666666,0.8,0.996294640659611,0.9977219748902411,1.0019259168102388,1.0033613186474621,1.0056522196555222
